案號,案發時間,案件地點網格編號,timestamp
20220101155517004,2022-01-01 15:56:00,525,1641052560
20220101160605008,2022-01-01 16:07:00,402,1641053220
20220101160726002,2022-01-01 16:08:00,642,1641053280
20220101161226008,2022-01-01 16:12:00,282,1641053520
20220101161226008,2022-01-01 16:13:00,282,1641053580
20220101161305007,2022-01-01 16:14:00,287,1641053640
20220101161556002,2022-01-01 16:17:00,202,1641053820
20220101161714007,2022-01-01 16:18:00,490,1641053880
20220101161757008,2022-01-01 16:19:00,402,1641053940
20220101162306002,2022-01-01 16:24:00,369,1641054240
20220101162306002,2022-01-01 16:24:00,369,1641054240
20220101162236004,2022-01-01 16:24:00,371,1641054240
20220101162306002,2022-01-01 16:24:00,369,1641054240
20220101162725007,2022-01-01 16:29:00,112,1641054540
20220101164304004,2022-01-01 16:43:00,188,1641055380
20220101164402003,2022-01-01 16:45:00,364,1641055500
20220101164529004,2022-01-01 16:46:00,250,1641055560
20220101165120004,2022-01-01 16:53:00,615,1641055980
20220101165353004,2022-01-01 16:55:00,199,1641056100
20220101165758005,2022-01-01 17:00:00,248,1641056400
20220101170245004,2022-01-01 17:04:00,198,1641056640
20220101170321002,2022-01-01 17:04:00,232,1641056640
20220101170703005,2022-01-01 17:08:00,524,1641056880
20220101170705008,2022-01-01 17:08:00,249,1641056880
20220101170843007,2022-01-01 17:09:00,520,1641056940
20220101170945004,2022-01-01 17:10:00,159,1641057000
20220101171125008,2022-01-01 17:12:00,524,1641057120
20220101171227002,2022-01-01 17:13:00,375,1641057180
20220101171422004,2022-01-01 17:15:00,189,1641057300
20220101171654008,2022-01-01 17:18:00,490,1641057480
20220101172033008,2022-01-01 17:22:00,253,1641057720
20220101172136003,2022-01-01 17:23:00,431,1641057780
20220101172327004,2022-01-01 17:24:00,317,1641057840
20220101173933002,2022-01-01 17:40:00,308,1641058800
20220101174209003,2022-01-01 17:43:00,516,1641058980
20220101174912008,2022-01-01 17:50:00,223,1641059400
20220101175131008,2022-01-01 17:52:00,199,1641059520
20220101175613007,2022-01-01 17:57:00,280,1641059820
20220101175742008,2022-01-01 17:59:00,190,1641059940
20220101180121002,2022-01-01 18:01:00,220,1641060060
20220101181407002,2022-01-01 18:14:00,426,1641060840
20220101182809002,2022-01-01 18:28:00,309,1641061680
20220101183117008,2022-01-01 18:32:00,432,1641061920
20220101183334002,2022-01-01 18:34:00,288,1641062040
20220101183333004,2022-01-01 18:35:00,338,1641062100
20220101183509007,2022-01-01 18:35:00,263,1641062100
20220101183853008,2022-01-01 18:40:00,221,1641062400
20220101184345004,2022-01-01 18:45:00,704,1641062700
20220101185522003,2022-01-01 18:56:00,219,1641063360
20220101185524007,2022-01-01 18:56:00,223,1641063360
20220101185651002,2022-01-01 18:57:00,248,1641063420
20220101185701008,2022-01-01 18:57:00,490,1641063420
20220101185820007,2022-01-01 18:59:00,221,1641063540
20220101190258002,2022-01-01 19:00:00,400,1641063600
20220101190317003,2022-01-01 19:04:00,525,1641063840
20220101190407004,2022-01-01 19:06:00,372,1641063960
20220101190544003,2022-01-01 19:07:00,289,1641064020
20220101190907008,2022-01-01 19:10:00,252,1641064200
20220101191340007,2022-01-01 19:14:00,281,1641064440
20220101192019003,2022-01-01 19:23:00,50,1641064980
20220101192257005,2022-01-01 19:23:00,308,1641064980
20220101193839007,2022-01-01 19:39:00,319,1641065940
20220101194709007,2022-01-01 19:48:00,138,1641066480
20220101194726003,2022-01-01 19:48:00,278,1641066480
20220101194915004,2022-01-01 19:50:00,335,1641066600
20220101194953008,2022-01-01 19:50:00,289,1641066600
20220101195202004,2022-01-01 19:53:00,283,1641066780
20220101195449007,2022-01-01 19:55:00,428,1641066900
20220101195702002,2022-01-01 19:58:00,279,1641067080
20220101200043005,2022-01-01 20:02:00,368,1641067320
20220101200139004,2022-01-01 20:02:00,489,1641067320
20220101201255002,2022-01-01 20:13:00,309,1641067980
20220101202202004,2022-01-01 20:23:00,128,1641068580
20220101202349002,2022-01-01 20:24:00,252,1641068640
20220101203506007,2022-01-01 20:35:00,342,1641069300
20220101204456005,2022-01-01 20:47:00,425,1641070020
20220101204712008,2022-01-01 20:48:00,171,1641070080
20220101204944004,2022-01-01 20:51:00,287,1641070260
20220101204949002,2022-01-01 20:51:00,222,1641070260
20220101205110008,2022-01-01 20:51:00,490,1641070260
20220101205037005,2022-01-01 20:52:00,393,1641070320
20220101205625007,2022-01-01 20:57:00,551,1641070620
20220101210439005,2022-01-01 21:05:00,255,1641071100
20220101210705007,2022-01-01 21:07:00,373,1641071220
20220101210944004,2022-01-01 21:11:00,373,1641071460
20220101212438003,2022-01-01 21:26:00,368,1641072360
20220101212549004,2022-01-01 21:30:00,257,1641072600
20220101213622002,2022-01-01 21:36:00,221,1641072960
20220101213603005,2022-01-01 21:37:00,554,1641073020
20220101214320002,2022-01-01 21:44:00,460,1641073440
20220101214303004,2022-01-01 21:45:00,484,1641073500
20220101215127007,2022-01-01 21:52:00,368,1641073920
20220101215815007,2022-01-01 21:59:00,371,1641074340
20220101215809004,2022-01-01 22:00:00,432,1641074400
20220101215809004,2022-01-01 22:00:00,432,1641074400
20220101215815007,2022-01-01 22:05:00,371,1641074700
20220101223031004,2022-01-01 22:31:00,335,1641076260
20220101224002002,2022-01-01 22:40:00,585,1641076800
20220101224319008,2022-01-01 22:45:00,491,1641077100
20220101224759005,2022-01-01 22:49:00,455,1641077340
20220101230349007,2022-01-01 23:05:00,202,1641078300
20220101230721008,2022-01-01 23:08:00,341,1641078480
20220101232140002,2022-01-01 23:22:00,222,1641079320
20220101233155008,2022-01-01 23:33:00,251,1641079980
20220101235838003,2022-01-01 23:59:00,491,1641081540
20220102000226003,2022-01-02 00:03:00,522,1641081780
20220102001727003,2022-01-02 00:18:00,287,1641082680
20220102001959008,2022-01-02 00:21:00,345,1641082860
20220102003012003,2022-01-02 00:31:00,50,1641083460
20220102004626008,2022-01-02 00:48:00,400,1641084480
20220102005914007,2022-01-02 01:00:00,424,1641085200
20220102005922008,2022-01-02 01:00:00,458,1641085200
20220102010225003,2022-01-02 01:03:00,220,1641085380
20220102010356008,2022-01-02 01:06:00,342,1641085560
20220102011110007,2022-01-02 01:11:00,310,1641085860
20220102011110007,2022-01-02 01:11:00,310,1641085860
20220102011055003,2022-01-02 01:12:00,429,1641085920
20220102013253007,2022-01-02 01:34:00,189,1641087240
20220102013253007,2022-01-02 01:34:00,189,1641087240
20220102013813008,2022-01-02 01:39:00,521,1641087540
20220102014231008,2022-01-02 01:43:00,219,1641087780
20220102014151007,2022-01-02 01:43:00,463,1641087780
20220102014404008,2022-01-02 01:46:00,277,1641087960
20220102014404008,2022-01-02 01:46:00,277,1641087960
20220102015242003,2022-01-02 01:53:00,369,1641088380
20220102015509003,2022-01-02 01:56:00,307,1641088560
20220102020016008,2022-01-02 02:01:00,370,1641088860
20220102020433007,2022-01-02 02:06:00,463,1641089160
20220102022948008,2022-01-02 02:31:00,343,1641090660
20220102023201004,2022-01-02 02:33:00,190,1641090780
20220102024158007,2022-01-02 02:42:00,317,1641091320
20220102024647003,2022-01-02 02:48:00,373,1641091680
20220102025748007,2022-01-02 02:59:00,336,1641092340
20220102025919004,2022-01-02 03:00:00,157,1641092400
20220102030000003,2022-01-02 03:01:00,256,1641092460
20220102030304007,2022-01-02 03:04:00,585,1641092640
20220102031545003,2022-01-02 03:16:00,586,1641093360
20220102032757003,2022-01-02 03:28:00,311,1641094080
20220102033650004,2022-01-02 03:37:00,462,1641094620
20220102034239007,2022-01-02 03:44:00,229,1641095040
20220102035110008,2022-01-02 03:52:00,398,1641095520
20220102035330003,2022-01-02 03:54:00,225,1641095640
20220102035330003,2022-01-02 03:54:00,225,1641095640
20220102035921004,2022-01-02 04:00:00,427,1641096000
20220102040410007,2022-01-02 04:05:00,369,1641096300
20220102041244007,2022-01-02 04:14:00,367,1641096840
20220102042115003,2022-01-02 04:22:00,424,1641097320
20220102042544008,2022-01-02 04:27:00,202,1641097620
20220102042658007,2022-01-02 04:27:00,282,1641097620
20220102043354008,2022-01-02 04:35:00,309,1641098100
20220102043647003,2022-01-02 04:38:00,337,1641098280
20220102043910004,2022-01-02 04:40:00,188,1641098400
20220102044102008,2022-01-02 04:42:00,463,1641098520
20220102044322003,2022-01-02 04:45:00,281,1641098700
20220102044501007,2022-01-02 04:45:00,462,1641098700
20220102044504004,2022-01-02 04:46:00,586,1641098760
20220102044858003,2022-01-02 04:49:00,463,1641098940
20220102051629003,2022-01-02 05:17:00,309,1641100620
20220102051712004,2022-01-02 05:18:00,129,1641100680
